,X,Y,Z
0,526544.19,710899.42,6.867
1,526548.3,710890.31,6.678
2,526552.41,710881.19,6.759
3,526556.51,710872.07,7.641
4,526560.62,710862.95,8.001000000000001
5,526564.73,710853.84,8.334
6,526568.84,710844.72,8.091000000000001
7,526572.94,710835.6,6.957000000000001
8,526577.05,710826.48,6.318
9,526581.16,710817.37,6.021000000000001
10,526540.99,710930.88,7.164
11,526545.1,710921.77,7.776000000000001
12,526549.2,710912.65,6.867
13,526553.31,710903.53,5.949000000000001
14,526557.42,710894.41,7.029
15,526561.52,710885.3,7.911
16,526565.63,710876.18,8.073
17,526569.74,710867.06,8.343
18,526573.85,710857.94,8.370000000000001
19,526577.95,710848.83,8.172
20,526582.06,710839.71,7.695000000000001
21,526586.17,710830.59,7.460999999999999
22,526590.27,710821.47,7.443
23,526594.38,710812.36,4.986
24,526598.49,710803.24,3.654
25,526550.11,710934.99,6.408
26,526554.21,710925.87,6.525
27,526558.32,710916.76,5.742
28,526562.43,710907.64,5.994000000000001
29,526566.53,710898.52,6.615
30,526570.64,710889.4,7.2
31,526574.75,710880.29,7.803
32,526578.86,710871.17,8.451
33,526582.96,710862.05,8.82
34,526587.07,710852.93,8.766
35,526591.18,710843.82,8.766
36,526595.28,710834.7,8.118
37,526599.39,710825.58,7.452
38,526603.5,710816.46,5.589
39,526607.61,710807.34,4.158
40,526611.71,710798.23,3.447
41,526615.82,710789.11,2.538
42,526559.22,710939.1,5.49
43,526563.33,710929.98,6.714
44,526567.44,710920.86,5.7780000000000005
45,526571.54,710911.75,5.976
46,526575.65,710902.63,6.183
47,526579.76,710893.51,6.822
48,526583.87,710884.39,7.641
49,526587.97,710875.28,8.379000000000001
50,526592.08,710866.16,8.937
51,526596.19,710857.04,9.251999999999999
52,526600.3,710847.92,9.639000000000001
53,526604.4,710838.8,8.748000000000001
54,526608.51,710829.69,7.704000000000001
55,526612.62,710820.57,6.192
56,526616.72,710811.45,4.599
57,526620.83,710802.33,4.095
58,526624.94,710793.22,3.5370000000000004
59,526629.05,710784.1,2.781
60,526633.15,710774.98,2.007
61,526572.45,710934.09,2.979
62,526576.56,710924.97,5.589
63,526580.66,710915.85,5.463
64,526584.77,710906.74,5.517
65,526588.88,710897.62,6.39
66,526592.98,710888.5,7.011
67,526597.09,710879.38,7.488
68,526601.2,710870.26,7.983
69,526605.31,710861.15,8.91
70,526609.41,710852.03,9.72
71,526613.52,710842.91,8.847
72,526617.63,710833.79,8.073
73,526621.73,710824.68,6.5520000000000005
74,526625.84,710815.56,4.7250000000000005
75,526629.95,710806.44,3.9330000000000003
76,526634.06,710797.32,3.492
77,526638.16,710788.21,3.06
78,526642.27,710779.09,2.556
79,526646.38,710769.97,1.9800000000000002
80,526650.48,710760.85,1.4669999999999999
81,526581.57,710938.2,3.204
82,526585.67,710929.08,4.464
83,526589.78,710919.96,5.706
84,526593.89,710910.84,5.886
85,526597.99,710901.72,6.003
86,526602.1,710892.61,6.3
87,526606.21,710883.49,6.462
88,526610.32,710874.37,6.6240000000000006
89,526614.42,710865.25,7.938000000000001
90,526618.53,710856.14,9.072000000000001
91,526622.64,710847.02,8.532
92,526626.74,710837.9,8.154
93,526630.85,710828.78,6.822
94,526634.96,710819.67,4.86
95,526639.07,710810.55,3.87
96,526643.17,710801.43,3.4019999999999997
97,526647.28,710792.31,2.8890000000000002
98,526651.39,710783.2,2.502
99,526655.5,710774.08,2.106
100,526659.6,710764.96,1.7189999999999999
101,526663.71,710755.84,1.566
102,526667.82,710746.73,1.359
103,526594.79,710933.19,4.365
104,526598.9,710924.07,5.409
105,526603.01,710914.95,5.904
106,526607.11,710905.83,5.724
107,526611.22,710896.71,5.760000000000001
108,526615.33,710887.6,5.688000000000001
109,526619.43,710878.48,5.598
110,526623.54,710869.36,7.281
111,526627.65,710860.24,8.577
112,526631.76,710851.13,8.514000000000001
113,526635.86,710842.01,8.433
114,526639.97,710832.89,7.569
115,526644.08,710823.77,5.688000000000001
116,526648.18,710814.66,4.671
117,526652.29,710805.54,4.239
118,526656.4,710796.42,3.834
119,526660.51,710787.3,3.4019999999999997
120,526664.61,710778.19,2.943
121,526668.72,710769.07,2.466
122,526672.83,710759.95,2.484
123,526676.93,710750.83,2.052
124,526681.04,710741.71,1.773
125,526685.15,710732.6,1.791
126,526689.26,710723.48,1.566
127,526603.91,710937.29,3.6630000000000003
128,526608.02,710928.17,4.7250000000000005
129,526612.12,710919.06,6.048
130,526616.23,710909.94,5.274
131,526620.34,710900.82,5.5440000000000005
132,526624.44,710891.7,5.886
133,526628.55,710882.59,6.408
134,526632.66,710873.47,6.8580000000000005
135,526636.77,710864.35,7.875
136,526640.87,710855.23,8.181000000000001
137,526644.98,710846.12,8.64
138,526649.09,710837.0,8.559
139,526653.19,710827.88,7.659
140,526657.3,710818.76,6.822
141,526661.41,710809.65,6.111
142,526665.52,710800.53,5.301
143,526669.62,710791.41,4.599
144,526673.73,710782.29,3.8970000000000002
145,526677.84,710773.18,3.3480000000000003
146,526681.94,710764.06,3.4290000000000003
147,526686.05,710754.94,2.853
148,526690.16,710745.82,2.538
149,526694.27,710736.7,2.565
150,526698.37,710727.59,2.439
151,526702.48,710718.47,2.232
152,526706.59,710709.35,2.2769999999999997
153,526710.7,710700.23,2.241
154,526714.8,710691.12,2.034
155,526718.91,710682.0,2.025
156,526870.88,710344.65,4.275
157,526874.98,710335.53,4.338
158,526879.09,710326.41,4.401
159,526883.2,710317.29,5.328
160,526887.3,710308.18,4.6259999999999994
161,526891.41,710299.06,3.645
162,526895.52,710289.94,3.096
163,526617.13,710932.28,4.086
164,526621.24,710923.16,4.923
165,526625.35,710914.05,4.905
166,526629.45,710904.93,5.319
167,526633.56,710895.81,5.877000000000001
168,526637.67,710886.69,6.156
169,526641.78,710877.58,5.859
170,526645.88,710868.46,6.336
171,526649.99,710859.34,7.272
172,526654.1,710850.22,8.316
173,526658.2,710841.11,8.928
174,526662.31,710831.99,8.955
175,526666.42,710822.87,8.64
176,526670.53,710813.75,7.8660000000000005
177,526674.63,710804.64,7.074000000000001
178,526678.74,710795.52,5.796
179,526682.85,710786.4,4.509
180,526686.96,710777.28,4.068
181,526691.06,710768.16,5.121
182,526695.17,710759.05,4.086
183,526699.28,710749.93,3.555
184,526703.38,710740.81,3.519
